X	Y
686.610	9123.030
685.950	9123.180
685.520	9123.040
684.970	9122.990
684.540	9122.890
684.070	9122.770
683.750	9122.770
683.330	9122.750
682.970	9122.740
682.420	9122.710
681.840	9122.560
681.410	9122.560
680.860	9122.670
680.600	9122.810
680.350	9123.260
680.040	9123.430
679.840	9123.430
679.690	9123.370
679.110	9122.920
678.670	9122.680
678.150	9122.440
677.380	9122.230
676.940	9122.250
676.630	9122.310
676.080	9122.390
675.640	9122.390
675.100	9122.340
674.900	9122.280
674.670	9122.180
674.490	9122.240
674.360	9122.290
673.730	9122.100
673.200	9121.920
672.760	9121.830
672.420	9121.740
672.280	9121.390
672.120	9121.120
671.780	9121.060
671.470	9121.050
671.080	9120.910
670.620	9120.810
670.010	9120.700
669.360	9120.700
668.860	9120.640
668.680	9120.540
668.590	9120.250
668.500	9119.980
668.350	9119.690
668.210	9119.150
668.020	9118.890
667.670	9118.590
667.290	9118.410
666.840	9118.350
666.430	9118.550
666.230	9118.700
666.070	9118.780
665.880	9118.870
665.650	9118.900
665.380	9118.950
665.230	9118.970
665.010	9118.990
664.680	9118.950
664.240	9118.880
663.820	9118.840
663.500	9118.790
663.090	9118.820
662.740	9118.780
662.340	9118.730
662.030	9118.570
661.710	9118.430
661.390	9118.240
660.990	9117.900
660.780	9117.700
660.570	9117.520
660.520	9117.340
660.530	9117.150
660.520	9116.900
660.440	9116.800
660.260	9116.700
660.130	9116.560
659.890	9116.400
659.660	9116.310
659.410	9116.240
659.020	9116.240
658.820	9116.310
658.680	9116.430
658.550	9116.630
658.420	9116.840
658.310	9117.030
658.230	9117.250
658.170	9117.540
658.060	9117.760
657.850	9117.880
657.700	9117.890
657.500	9117.840
657.330	9117.710
657.060	9117.550
656.780	9117.430
656.460	9117.400
656.220	9117.370
656.000	9117.360
655.880	9117.490
655.910	9117.690
656.000	9117.860
656.040	9118.190
655.970	9118.270
655.980	9118.460
656.120	9118.640
656.530	9118.680
657.140	9118.880
657.420	9119.020
657.600	9119.220
657.560	9119.340
657.430	9119.410
657.370	9119.470
657.370	9119.660
657.470	9119.840
657.640	9120.170
657.830	9120.400
658.260	9120.770
658.610	9121.020
658.890	9121.150
659.300	9121.440
659.410	9121.650
659.330	9121.860
659.130	9121.960
658.890	9122.050
658.710	9122.150
658.570	9122.270
658.650	9122.420
658.840	9122.670
659.070	9122.940
659.360	9123.330
659.540	9123.570
659.790	9123.830
659.760	9124.030
659.660	9124.110
659.440	9124.120
659.220	9124.110
658.930	9124.240
658.760	9124.310
658.490	9124.400
658.190	9124.550
657.890	9124.730
657.470	9124.890
657.180	9125.030
657.180	9125.230
657.310	9125.320
657.520	9125.390
657.710	9125.370
657.980	9125.370
658.230	9125.380
658.450	9125.420
658.540	9125.570
658.440	9125.750
658.300	9125.850
658.030	9125.970
657.770	9126.100
657.650	9126.180
657.520	9126.340
657.410	9126.590
657.330	9126.800
657.180	9127.000
657.030	9127.050
656.890	9127.200
656.750	9127.350
656.650	9127.450
656.420	9127.430
656.280	9127.350
656.160	9127.340
656.080	9127.450
656.020	9127.570
656.010	9127.710
656.000	9127.880
655.960	9128.150
655.960	9128.380
656.040	9128.620
656.210	9128.910
656.290	9129.130
656.230	9129.320
656.070	9129.480
655.840	9129.480
655.650	9129.380
655.490	9129.270
655.140	9129.140
654.970	9129.060
654.830	9128.930
654.670	9128.780
654.550	9128.640
654.410	9128.500
654.250	9128.400
654.050	9128.270
653.910	9128.190
653.780	9128.190
653.660	9128.190
653.540	9128.090
653.490	9128.000
653.470	9127.830
653.470	9127.650
653.440	9127.530
653.390	9127.460
653.110	9127.330
652.950	9127.200
652.780	9127.090
652.550	9127.020
652.460	9127.120
652.450	9127.240
652.440	9127.380
652.350	9127.550
652.210	9127.680
652.000	9127.670
651.850	9127.610
651.710	9127.440
651.650	9127.370
651.520	9127.320
651.420	9127.180
651.340	9127.000
651.270	9126.740
651.230	9126.610
651.180	9126.430
651.030	9126.200
650.800	9126.010
650.700	9125.880
650.650	9125.750
650.630	9125.620
650.600	9125.360
650.580	9125.260
650.470	9125.080
650.390	9125.030
650.220	9124.960
650.150	9124.910
650.100	9124.840
650.110	9124.750
650.150	9124.650
650.150	9124.560
650.130	9124.490
650.100	9124.390
650.020	9124.210
649.940	9124.040
649.820	9123.920
649.570	9123.710
649.280	9123.550
649.030	9123.360
648.860	9123.210
648.740	9123.110
648.660	9122.980
648.630	9122.810
648.550	9122.500
648.440	9122.310
648.350	9122.210
648.150	9122.150
647.940	9122.080
647.910	9121.950
647.880	9121.850
647.860	9121.610
647.870	9121.400
647.900	9121.190
647.840	9121.070
647.670	9120.940
647.580	9120.900
647.420	9120.700
647.320	9120.630
647.070	9120.570
646.950	9120.530
646.840	9120.470
646.760	9120.460
646.650	9120.470
646.360	9120.370
646.230	9120.230
646.190	9120.030
646.240	9119.850
646.370	9119.570
646.530	9119.290
646.600	9119.100
646.600	9118.880
646.510	9118.860
646.420	9118.890
646.240	9118.980
646.070	9119.050
645.860	9119.030
645.620	9118.960
645.430	9118.800
645.280	9118.620
645.240	9118.520
645.240	9118.360
645.280	9118.200
645.380	9118.050
645.460	9117.890
645.440	9117.810
645.380	9117.770
645.310	9117.750
645.160	9117.760
644.930	9117.750
644.770	9117.710
644.540	9117.650
644.360	9117.470
644.280	9117.300
644.230	9117.170
644.090	9117.000
644.000	9116.980
643.830	9116.930
643.670	9116.840
643.480	9116.760
643.370	9116.690
643.330	9116.560
643.330	9116.470
643.340	9116.390
643.340	9116.280
643.260	9116.040
643.170	9115.910
643.040	9115.630
642.850	9115.510
642.800	9115.330
642.660	9115.220
642.490	9115.100
642.030	9114.990
641.710	9114.880
641.380	9114.680
641.120	9114.560
640.740	9114.250
640.590	9114.100
640.410	9113.960
639.960	9113.900
639.430	9113.830
638.970	9113.620
638.360	9113.350
637.960	9113.230
637.760	9113.170
637.290	9113.230
636.970	9113.440
636.600	9113.750
636.290	9113.840
635.930	9113.790
635.320	9113.360
634.710	9112.850
634.290	9112.480
634.060	9112.310
633.470	9111.730
633.290	9111.470
633.090	9111.080
632.880	9110.820
632.740	9110.450
632.730	9110.100
632.800	9109.700
632.850	9109.430
632.770	9109.140
632.650	9108.760
632.510	9108.370
632.300	9107.970
632.200	9107.680
632.120	9107.200
632.060	9106.940
631.790	9106.710
631.530	9106.610
631.360	9106.520
631.260	9106.390
631.150	9106.030
631.150	9105.770
631.440	9105.600
631.720	9105.560
631.960	9105.510
632.110	9105.320
632.110	9105.080
631.950	9104.550
631.810	9104.140
631.660	9103.830
631.620	9103.620
631.740	9103.330
631.810	9103.060
631.770	9102.750
631.590	9102.470
631.510	9102.300
631.580	9102.110
631.770	9101.910
632.290	9101.450
632.630	9101.160
633.010	9100.740
633.230	9100.450
633.300	9100.170
633.350	9100.030
633.420	9099.780
633.590	9099.310
633.740	9098.470
633.760	9098.000
633.770	9097.350
633.780	9096.820
633.670	9096.210
633.570	9095.650
633.290	9094.890
633.200	9094.460
633.210	9093.670
633.260	9093.080
633.470	9092.460
633.810	9091.720
634.310	9091.030
634.700	9090.520
635.170	9090.040
635.320	9089.660
635.300	9089.220
635.080	9088.770
634.580	9088.010
634.340	9087.330
634.270	9086.670
634.240	9086.070
634.230	9085.560
634.220	9085.190
634.580	9084.460
635.010	9083.850
635.490	9083.310
635.810	9083.020
635.930	9082.790
635.960	9082.640
635.720	9082.360
635.280	9081.810
634.800	9081.350
634.340	9080.980
633.780	9080.680
633.400	9080.450
633.240	9080.340
633.160	9080.250
633.100	9080.130
633.140	9080.000
633.170	9079.890
633.000	9079.760
632.670	9079.490
632.470	9079.290
632.330	9078.940
632.470	9078.640
632.800	9078.220
633.100	9077.730
633.360	9077.300
633.530	9076.780
