X	Y	Z
648.872	9143.100	44.35
606.456	9084.246	46.06
619.336	9095.271	80.78
630.475	9137.627	89.66
624.985	9146.856	107.60
641.451	9121.008	57.34
612.083	9132.146	52.81
626.717	9108.150	69.34
588.044	9056.646	32.11
514.677	9067.790	26.35
564.231	9078.801	37.95
545.847	9049.342	24.14
617.430	9069.475	26.26
565.986	9027.203	9.71
573.398	9073.258	54.73
567.852	9047.470	29.73
663.513	9124.620	108.46
678.251	9133.782	80.23
700.525	9185.307	97.95
512.856	9113.855	7.81
529.378	9102.792	29.00
551.397	9089.874	58.33
540.408	9117.524	32.89
523.884	9130.433	18.89
689.441	9174.291	49.92
547.771	9132.257	362.56
556.897	9084.339	34.23
562.435	9106.443	70.18
577.145	9117.476	27.00
586.290	9097.190	56.91
595.502	9111.913	48.77
597.386	9134.022	409.18
681.977	9146.670	126.93
501.837	9124.912	3.87
531.158	9025.401	36.77
637.640	9076.788	62.47
648.746	9104.397	117.38
652.482	9122.815	97.34
503.666	9030.941	16.27
525.670	9041.989	21.72
724.336	9168.569	83.57
709.728	9194.444	4.88
665.518	9183.551	30.38
709.536	9150.200	60.03
691.349	9201.891	9.54
